emb_x,emb_y,Year,Month,period_label
-0.9972017040835248,0.10795448977708004,2013,1,2013-01
-0.95821526757537,-0.13581858657507628,2013,2,2013-02
-0.39058736562739826,-0.16181638386374608,2013,3,2013-03
-0.1569438068790453,-0.24953158944742773,2013,4,2013-04
-0.14108606371994437,-0.281069152784715,2013,5,2013-05
0.018429834963294756,-0.30430915974807793,2013,6,2013-06
-0.014525722992542622,-0.13100040973066457,2013,7,2013-07
0.05443620709956276,-0.16247919030267305,2013,8,2013-08
-0.09871884489346872,-0.3947776312313892,2013,9,2013-09
0.06206248250226398,-0.5064654634875475,2013,10,2013-10
-0.46449485942130686,-0.3464611616029073,2013,11,2013-11
-0.9403475257938994,0.09381317981260577,2013,12,2013-12
-0.9630056635028013,-0.026531750371841953,2014,1,2014-01
-0.9251948091457004,-0.1389803831633065,2014,2,2014-02
-0.40473007386487925,-0.14635700266589008,2014,3,2014-03
-0.035103360040931175,-0.34216232419889925,2014,4,2014-04
0.06696041386796225,-0.2854514137955493,2014,5,2014-05
0.13096163359777613,-0.2457443140091456,2014,6,2014-06
0.21679198453061987,-0.13198895532585808,2014,7,2014-07
0.20663311421447728,-0.1366971459343092,2014,8,2014-08
0.09912216228589954,-0.3871457840381358,2014,9,2014-09
0.09818112749145969,-0.37178705456006744,2014,10,2014-10
-0.2850136153381314,-0.3066638568038226,2014,11,2014-11
-0.7436829582128932,0.11628399303858614,2014,12,2014-12
-0.8042741116472889,-0.017550995271844484,2015,1,2015-01
-0.8638361624971043,-0.18277779808354147,2015,2,2015-02
-0.18755381163795448,-0.22898956878568436,2015,3,2015-03
-0.16153784569231255,-0.10369160018264825,2015,4,2015-04
0.19268695246420653,-0.22142923810286563,2015,5,2015-05
0.2762118805405749,-0.18869544739091684,2015,6,2015-06
0.3585250325393443,-0.09924733919642124,2015,7,2015-07
0.2912771317368408,-0.06012540300334506,2015,8,2015-08
0.16875343818903898,-0.29735961471281025,2015,9,2015-09
0.2800556192148185,-0.2943129382286529,2015,10,2015-10
-0.22570386692312983,-0.18480177428080835,2015,11,2015-11
-0.6157540885481991,0.21809042135083886,2015,12,2015-12
-0.70213606290636,0.16411583251972042,2016,1,2016-01
-0.7118221696506333,0.04272091536306159,2016,2,2016-02
-0.13238002694785023,0.04717309897326404,2016,3,2016-03
0.13274308174125937,0.02028941333899388,2016,4,2016-04
0.290059283492049,0.06901664882398456,2016,5,2016-05
0.46550069181396014,0.049294364298159976,2016,6,2016-06
0.48667003453306457,0.1410765262934141,2016,7,2016-07
0.4615237990870269,0.1418647224480794,2016,8,2016-08
0.3774399915578541,-0.1139468846674182,2016,9,2016-09
0.34245138578895284,-0.13872795477881553,2016,10,2016-10
-0.08608009755768076,-0.04415285343810241,2016,11,2016-11
-0.47314673952996456,0.3627847502761167,2016,12,2016-12
-0.6000447260902904,0.37368725484352294,2017,1,2017-01
-0.6320385808902158,0.1382336716098938,2017,2,2017-02
-0.019359772784024898,0.1211435625839237,2017,3,2017-03
0.38627062942887047,0.007790381752914705,2017,4,2017-04
0.48770480969888785,0.020052332656030153,2017,5,2017-05
0.5294282912243724,0.05407332657306911,2017,6,2017-06
0.5501742401220926,0.20500619860601127,2017,7,2017-07
0.514852846713524,0.23110403417058595,2017,8,2017-08
0.3580408091832865,-0.05237736274761871,2017,9,2017-09
0.4819746221947503,-0.14616423295229386,2017,10,2017-10
-0.003040749194457071,0.005244880526611335,2017,11,2017-11
-0.4452701516786396,0.4085668815142325,2017,12,2017-12
-0.6019783898431572,0.307822728368911,2018,1,2018-01
-0.5679100641080614,0.20593659653258325,2018,2,2018-02
0.06068145589895502,0.12591903015551695,2018,3,2018-03
0.3790595904668628,0.09118607491133741,2018,4,2018-04
0.5356242130555027,0.13036431059607345,2018,5,2018-05
0.6364713007302623,0.11190703266253024,2018,6,2018-06
0.6342801148578727,0.26477921130750703,2018,7,2018-07
0.6583444874977307,0.24412142448829907,2018,8,2018-08
0.5488988696919315,-0.0007440001835867793,2018,9,2018-09
0.6599701994942697,-0.06301282134586492,2018,10,2018-10
0.08241560751342503,0.05722244157846362,2018,11,2018-11
-0.35269099637107515,0.49271663747939665,2018,12,2018-12
-0.5594176175202719,0.3883924778440523,2019,1,2019-01
-0.45387876838168495,0.14747190591782544,2019,2,2019-02
0.12140219984193679,0.2701138908896864,2019,3,2019-03
0.4985968847910267,0.16838583744857924,2019,4,2019-04
0.6288043737485802,0.17718321942517834,2019,5,2019-05
0.6905224474230389,0.16625136012546557,2019,6,2019-06
0.6822507880252235,0.31938559519682697,2019,7,2019-07
0.6197153972174438,0.3566472740749461,2019,8,2019-08
0.5353312570645408,0.01178544083184251,2019,9,2019-09
0.5700404547354392,-0.015239380112024543,2019,10,2019-10
0.014790082331727072,0.08242369695374202,2019,11,2019-11
-0.2244168147116682,0.3871888531668568,2019,12,2019-12
